setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
28,2023,10/07/2023,16/07/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,45 a 49,3,1,0
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,55 a 59,3,1,1
34,2023,21/08/2023,27/08/2023,64,GIRONA,6400,GIRONA,Home,30 a 34,3,1,1
17,2023,24/04/2023,30/04/2023,64,GIRONA,6400,GIRONA,Dona,3 i 4,3,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,5 a 9,3,3,1
33,2023,14/08/2023,20/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 74,3,1,1
43,2022,24/10/2022,30/10/2022,61,LLEIDA,6100,LLEIDA,Home,0,4,1,1
34,2023,21/08/2023,27/08/2023,61,LLEIDA,6100,LLEIDA,Dona,0,4,1,1
33,2023,14/08/2023,20/08/2023,61,LLEIDA,6100,LLEIDA,Dona,15 a 19,4,1,0
33,2023,14/08/2023,20/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 49,3,2,0
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,1,1
33,2023,14/08/2023,20/08/2023,64,GIRONA,6400,GIRONA,Home,40 a 44,3,1,0
34,2023,21/08/2023,27/08/2023,61,LLEIDA,6100,LLEIDA,Dona,3 i 4,4,1,0
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,40 a 44,4,2,1
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,60 a 64,2,1,1
17,2023,24/04/2023,30/04/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,50 a 54,4,1,1
34,2023,21/08/2023,27/08/2023,64,GIRONA,6400,GIRONA,Dona,50 a 54,3,1,0
34,2023,21/08/2023,27/08/2023,61,LLEIDA,6100,LLEIDA,Dona,1 i 2,4,1,1
45,2022,07/11/2022,13/11/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,2,1
34,2023,21/08/2023,27/08/2023,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,70 a 74,3,1,1
45,2022,07/11/2022,13/11/2022,61,LLEIDA,6100,LLEIDA,Dona,3 i 4,4,2,2
39,2022,26/09/2022,02/10/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,3,1,1
45,2022,07/11/2022,13/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,1 i 2,4,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,55 a 59,3,1,1
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,1,1,1
45,2022,07/11/2022,13/11/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,0,4,1,1
48,2022,28/11/2022,04/12/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,50 a 54,3,2,1
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,1,0
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,35 a 39,3,1,0
51,2022,19/12/2022,25/12/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,1 i 2,3,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,30 a 34,1,1,1
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,40 a 44,4,2,0
34,2023,21/08/2023,27/08/2023,61,LLEIDA,6100,LLEIDA,Home,45 a 49,4,2,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,10 a 14,3,1,0
48,2022,28/11/2022,04/12/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,50 a 54,4,1,1
46,2022,14/11/2022,20/11/2022,61,LLEIDA,6100,LLEIDA,Home,3 i 4,4,3,3
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,1 i 2,3,2,2
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,45 a 49,4,3,2
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,0,3,2,2
34,2023,21/08/2023,27/08/2023,64,GIRONA,6400,GIRONA,Home,5 a 9,3,1,0
33,2023,14/08/2023,20/08/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,75 a 79,4,1,0
34,2023,21/08/2023,27/08/2023,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,80 o més,3,1,0
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 64,2,1,1
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,2,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,30 a 34,3,1,1
33,2023,14/08/2023,20/08/2023,64,GIRONA,6400,GIRONA,Home,30 a 34,3,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,40 a 44,2,1,1
34,2023,21/08/2023,27/08/2023,64,GIRONA,6400,GIRONA,Dona,25 a 29,3,1,1
42,2022,17/10/2022,23/10/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,3,1,1
46,2022,14/11/2022,20/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,3,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,40 a 44,3,1,1
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,25 a 29,2,1,1
33,2023,14/08/2023,20/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,50 a 54,3,2,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,25 a 29,3,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,1 i 2,2,1,0
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,1,0
46,2022,14/11/2022,20/11/2022,64,GIRONA,6400,GIRONA,Dona,3 i 4,3,1,1
34,2023,21/08/2023,27/08/2023,64,GIRONA,6400,GIRONA,Home,20 a 24,3,1,0
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,45 a 49,2,1,1
34,2023,21/08/2023,27/08/2023,61,LLEIDA,6100,LLEIDA,Home,40 a 44,4,1,1
51,2022,19/12/2022,25/12/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,20 a 24,3,1,1
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,30 a 34,2,2,1
21,2022,23/05/2022,29/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,40 a 44,3,2,1
34,2023,21/08/2023,27/08/2023,61,LLEIDA,6100,LLEIDA,Home,65 a 69,4,1,0
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,3 i 4,3,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,0,3,1,1
34,2023,21/08/2023,27/08/2023,61,LLEIDA,6100,LLEIDA,Home,15 a 19,4,1,0
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,50 a 54,4,1,1
22,2022,30/05/2022,05/06/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,45 a 49,3,1,1
46,2022,14/11/2022,20/11/2022,64,GIRONA,6400,GIRONA,Dona,80 o més,3,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,40 a 44,4,1,1
34,2023,21/08/2023,27/08/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,20 a 24,4,1,0
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,35 a 39,1,1,1
3,2023,16/01/2023,22/01/2023,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,80 o més,3,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,55 a 59,2,1,1
33,2023,14/08/2023,20/08/2023,61,LLEIDA,6100,LLEIDA,Dona,30 a 34,4,3,1
33,2023,14/08/2023,20/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,10 a 14,3,1,1
34,2023,21/08/2023,27/08/2023,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,65 a 69,3,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,2,1,1
33,2023,14/08/2023,20/08/2023,61,LLEIDA,6100,LLEIDA,Home,40 a 44,4,1,0
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,1 i 2,4,3,3
34,2023,21/08/2023,27/08/2023,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Dona,70 a 74,3,1,0
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,0,3,1,0
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,1 i 2,3,1,1
46,2022,14/11/2022,20/11/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,2,2,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,50 a 54,4,1,1
33,2023,14/08/2023,20/08/2023,64,GIRONA,6400,GIRONA,Home,50 a 54,3,1,0
34,2023,21/08/2023,27/08/2023,61,LLEIDA,6100,LLEIDA,Dona,75 a 79,2,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,5 a 9,3,1,1
33,2023,14/08/2023,20/08/2023,64,GIRONA,6400,GIRONA,Home,15 a 19,3,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,3 i 4,3,1,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,55 a 59,3,2,2
40,2022,03/10/2022,09/10/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,5 a 9,4,1,1
21,2022,23/05/2022,29/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,40 a 44,4,3,3
46,2022,14/11/2022,20/11/2022,64,GIRONA,6400,GIRONA,Home,0,3,1,1
34,2023,21/08/2023,27/08/2023,64,GIRONA,6400,GIRONA,Home,40 a 44,3,1,0
46,2022,14/11/2022,20/11/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,2,1,1
34,2023,21/08/2023,27/08/2023,64,GIRONA,6400,GIRONA,Home,15 a 19,3,1,1
34,2023,21/08/2023,27/08/2023,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,60 a 64,3,1,1
34,2023,21/08/2023,27/08/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,20 a 24,3,1,1
46,2022,14/11/2022,20/11/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,1 i 2,3,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,4,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,0,4,1,1
33,2023,14/08/2023,20/08/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,10 a 14,-1,1,0
12,2023,20/03/2023,26/03/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,0,2,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,30 a 34,3,1,0
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,35 a 39,4,1,1
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,35 a 39,3,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,0,4,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,3 i 4,4,1,0
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,2,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,65 a 69,3,1,0
35,2022,29/08/2022,04/09/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,15 a 19,2,1,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,2,1,0
35,2023,28/08/2023,03/09/2023,64,GIRONA,6400,GIRONA,Home,1 i 2,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,10 a 14,-1,1,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,30 a 34,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,75 a 79,2,1,0
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,60 a 64,4,1,0
46,2022,14/11/2022,20/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,4,1,0
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,25 a 29,4,1,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,1 i 2,3,1,0
34,2023,21/08/2023,27/08/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,1,1
13,2023,27/03/2023,02/04/2023,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Dona,35 a 39,3,1,1
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Dona,70 a 74,2,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,25 a 29,3,1,1
10,2023,06/03/2023,12/03/2023,64,GIRONA,6400,GIRONA,Home,45 a 49,3,1,1
35,2023,28/08/2023,03/09/2023,64,GIRONA,6400,GIRONA,Dona,35 a 39,3,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,65 a 69,3,1,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,1,1
46,2022,14/11/2022,20/11/2022,64,GIRONA,6400,GIRONA,Home,1 i 2,3,2,2
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,25 a 29,4,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,35 a 39,4,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 64,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,30 a 34,3,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,3,1,1
46,2022,14/11/2022,20/11/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,3,1,1
35,2023,28/08/2023,03/09/2023,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,60 a 64,3,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,10 a 14,4,1,0
35,2023,28/08/2023,03/09/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,40 a 44,4,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,65 a 69,2,2,0
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,0,4,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,40 a 44,3,3,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,75 a 79,3,2,0
35,2023,28/08/2023,03/09/2023,64,GIRONA,6400,GIRONA,Dona,45 a 49,3,1,1
35,2023,28/08/2023,03/09/2023,64,GIRONA,6400,GIRONA,Home,65 a 69,3,1,0
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,0,3,2,2
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Dona,45 a 49,4,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,1 i 2,1,1,0
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,1,1
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Home,30 a 34,4,2,0
19,2022,09/05/2022,15/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 74,4,4,4
35,2023,28/08/2023,03/09/2023,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,50 a 54,3,2,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,40 a 44,4,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 49,2,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 74,3,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,30 a 34,2,1,1
35,2023,28/08/2023,03/09/2023,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,45 a 49,3,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,2,1,1
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Home,55 a 59,4,2,2
11,2023,13/03/2023,19/03/2023,61,LLEIDA,6100,LLEIDA,Home,30 a 34,4,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,3 i 4,4,2,1
11,2023,13/03/2023,19/03/2023,61,LLEIDA,6100,LLEIDA,Home,30 a 34,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,70 a 74,3,1,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 74,3,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,75 a 79,4,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,25 a 29,3,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,30 a 34,2,1,1
42,2022,17/10/2022,23/10/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,3 i 4,4,1,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,25 a 29,2,1,1
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Dona,40 a 44,4,2,2
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Dona,35 a 39,4,1,1
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Dona,55 a 59,4,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,20 a 24,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,1 i 2,4,2,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 74,3,3,3
46,2022,14/11/2022,20/11/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,1,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,45 a 49,3,1,1
11,2023,13/03/2023,19/03/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,1 i 2,3,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,60 a 64,3,1,1
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Dona,50 a 54,4,2,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,35 a 39,3,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,40 a 44,1,1,0
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,35 a 39,4,1,0
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 64,3,2,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,55 a 59,4,1,0
35,2023,28/08/2023,03/09/2023,64,GIRONA,6400,GIRONA,Home,60 a 64,3,1,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,45 a 49,3,1,0
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 74,4,1,0
26,2023,26/06/2023,02/07/2023,00,No disponible,0000,No disponible,No disponible,No disponible,-1,2,2
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,50 a 54,2,1,1
35,2023,28/08/2023,03/09/2023,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,15 a 19,3,1,0
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Dona,30 a 34,2,2,0
46,2022,14/11/2022,20/11/2022,61,LLEIDA,6100,LLEIDA,Dona,80 o més,2,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,3 i 4,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,2,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,40 a 44,3,2,2
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,40 a 44,4,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,40 a 44,3,2,0
46,2022,14/11/2022,20/11/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,80 o més,3,1,1
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,20 a 24,3,1,1
46,2022,14/11/2022,20/11/2022,61,LLEIDA,6100,LLEIDA,Dona,3 i 4,4,4,4
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,2,0
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Home,45 a 49,4,2,1
35,2023,28/08/2023,03/09/2023,64,GIRONA,6400,GIRONA,Dona,30 a 34,3,1,0
35,2023,28/08/2023,03/09/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,50 a 54,3,1,1
46,2022,14/11/2022,20/11/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,1 i 2,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,20 a 24,3,2,1
3,2023,16/01/2023,22/01/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,1 i 2,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,55 a 59,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,45 a 49,4,2,1
28,2022,11/07/2022,17/07/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,4,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,2,2
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 74,3,1,0
35,2023,28/08/2023,03/09/2023,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,80 o més,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,20 a 24,3,4,2
35,2023,28/08/2023,03/09/2023,64,GIRONA,6400,GIRONA,Dona,5 a 9,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,65 a 69,2,1,0
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Dona,65 a 69,4,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 49,4,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 64,4,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,0,2,1,1
46,2022,14/11/2022,20/11/2022,64,GIRONA,6400,GIRONA,Dona,0,3,1,1
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,3 i 4,2,1,1
35,2023,28/08/2023,03/09/2023,61,LLEIDA,6100,LLEIDA,Dona,25 a 29,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 49,3,1,1
45,2022,07/11/2022,13/11/2022,64,GIRONA,6400,GIRONA,Dona,1 i 2,3,2,2
13,2023,27/03/2023,02/04/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,35 a 39,4,3,2
46,2022,14/11/2022,20/11/2022,61,LLEIDA,6100,LLEIDA,Dona,1 i 2,4,1,1
46,2022,14/11/2022,20/11/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,1,1
35,2023,28/08/2023,03/09/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,30 a 34,4,1,1
15,2023,10/04/2023,16/04/2023,00,No disponible,0000,No disponible,No disponible,No disponible,-1,3,3
3,2023,16/01/2023,22/01/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,3 i 4,3,1,0
